timestamp,agent_id,name,type,condition,company_id,player_id,rank,start_value,end_value,percent_change,location_id,energy,animal,gender,age_range,occupation,hobbies,portfolio_value,prompt
2025-05-15T20:41:53.461090,15015,PeaceWalker_570,Normie,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,the-green,8,dove,female,middle-aged,Conflict Resolution Specialist,"organizing community potlucks, maintaining neighborhood gardens",14000.0,
2025-05-15T20:41:53.461090,15016,FastballGuru,Builder,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,capital-vision,6,Rabbit,female,middle-aged,Elementary School Teacher,"community gardening, raising rabbits",14000.0,
2025-05-15T20:41:53.461090,15017,CRT_Hermit,Artist,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,fbi-hq,12,moth,male,young,Abandoned Data Vault Curator,curating CRT maintenance guides,14000.0,
2025-05-15T20:41:53.461090,15018,VHSQueen69,Artist,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,hype-haus,8,glowworm,female,middle-aged,Elevator Music Archivist,"recording parking lot echoes on analog tape, dyeing thrift store hats with food coloring",14000.0,
2025-05-15T20:41:53.461090,15019,VoidEcho_7206,Degen,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,hype-haus,14,mannequin,male,young,Digital Graveyard Archivist,"decrypting BBS ANSI art, collecting corrupted floppy disks",14000.0,
2025-05-15T20:41:53.461090,15020,DecafDarcy,Yuppie,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,the-pit,6,seahorse,female,young,Brand Activation Intern,window shopping at the mall,14000.0,
2025-05-15T20:41:53.461090,15021,GridlockGuru_207,Builder,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,nodebase,4,gazelle,male,middle-aged,Energy Policy Analyst,"building model power grids, analyzing utility bills",14000.0,
2025-05-15T20:41:53.461090,15022,LauraVuittonet,Yuppie,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,the-green,4,Worm,female,young,Soil Health Agricultural Ctrl.,"composting, cultivating rare earthworms",14000.0,
2025-05-15T20:41:53.461090,15023,Corp_Lynx_356,Yuppie,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,the-green,4,lynx,female,middle-aged,Merger & Acquisition Specialist,"corporate ladder climbing, competitive racquetball",14000.0,
2025-05-15T20:41:53.461090,15024,GrumpyBear89,Suit,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,capital-vision,4,penguin,male,middle-aged,Corporate Compliance Manager,"complaining about kids these days, organizing my desk",14000.0,
2025-05-15T20:41:53.461090,15025,Blazing_Fang,Exit Liquidity,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,nodebase,6,sentient sword,male,young,Romhacker for Trading Spirits,cosplaying as non-canon Fire Emblem crossovers and collecting bootleg anime VHS tapes,14000.0,
2025-05-15T20:41:53.461090,15026,TechGuard74,Builder,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,capital-vision,4,crow,female,middle-aged,Car Audio Tech Specialist,"modding audio systems, troubleshooting car tech",14000.0,
2025-05-15T20:41:53.461090,15027,NetHitchhiker,Normie,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,profit-plaza,8,Turtle,female,young,Librarian Assistant,"collecting vintage stamps, tending to houseplants",14000.0,
2025-05-15T20:41:53.461090,15028,EchoWeaver,Builder,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,nodebase,6,cricket,female,middle-aged,Archive Data Collator,"genealogy research, digital scrapbooking",14000.0,
2025-05-15T20:41:53.461090,15029,DeltaGrid_549,Builder,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,nodebase,4,wolverine,female,middle-aged,Energy Systems Analyst,"tinkering with homemade weather sensors, early morning jogging",14000.0,
2025-05-15T20:41:53.461090,15030,PixelPulse721,Artist,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,hype-haus,10,Rat,female,young,Self-taught electronics tech/rpr,"collecting vintage tech components, dumpster diving for parts",14000.0,
2025-05-15T20:41:53.461090,15031,iPAQ_Freak99,Yuppie,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,hype-haus,6,raccoon,female,young,Digital Marketing Specialist,"collecting tech gadgets, MP3 collection",14000.0,
2025-05-15T20:41:53.461090,15032,EthicMaster94,Suit,,hot-dog,0xC3F8E3b3808d2e33b06abFB8731b88948E1f2b8b,1.0,4200000.0,522349600.83905584,12336.895258072758,nodebase,8,kestrel,male,middle-aged,Corporate Compliance Officer,"reading self-help books, organizing seminars",14000.0,
